Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
CuO,Propylene Glycol,2.8,85.8,1.907,0.645,3356,1255,0.00901,2234.97869
SiO2,Water,2.77,71.6,0.681,1.622,3366,1402,0.0065,2118.965
Al2O3,Propylene Glycol,2.56,90,1.526,1.809,1398,1973,0.00989,3321.034199
SiO2,Propylene Glycol,1.64,78.3,0.166,1.907,2408,1994,0.00546,1222.944448
CuO,Oil,2.11,61,2.316,0.6,2370,1701,0.00328,4796.976529
CuO,Ethylene Glycol,1.89,86.7,0.788,1.522,3454,1473,0.00094,6356.491018
ZnO,Oil,3.81,56.6,2.31,0.986,3605,1465,0.00689,3181.229571
SiO2,Water,1.26,20.5,1.743,0.684,1427,1151,0.00124,4289.83109
ZnO,Propylene Glycol,3.73,57.8,2.951,1.198,3769,1328,0.00708,4195.277084
CuO,Propylene Glycol,3.44,36,0.856,0.631,1876,1223,0.00157,1461.721138
SiO2,Oil,1.05,87,2.525,2.013,3481,1238,0.00606,9402.33937
Al2O3,Propylene Glycol,2.57,75.7,1.063,0.783,2228,1305,0.00418,1908.83014
SiO2,Oil,4.43,75.8,0.839,1.738,805,1459,0.00856,783.1239324
TiO2,Oil,2.09,73.6,2.94,1.255,1531,1949,0.00077,15236.93258
Al2O3,Ethylene Glycol,0.57,59.7,2.63,1.688,2016,1581,0.00108,18618.03227
CuO,Ethylene Glycol,2.15,62.3,2.756,1.473,1389,1164,0.0068,3940.024384
TiO2,Propylene Glycol,3.48,78.2,1.088,1.532,4226,1784,0.00985,2759.473422
CuO,Oil,1.19,62.9,1.832,0.925,1639,1612,0.0075,3738.570325
TiO2,Ethylene Glycol,2.34,83,0.865,1.543,2215,1479,0.00126,4700.79154
SiO2,Oil,1.85,85.5,0.219,1.198,903,972,0.0017,669.8050211
SiO2,Water,3.74,33.1,1.149,0.716,923,1977,0.00713,1111.103547
ZnO,Ethylene Glycol,3.56,84.8,0.795,0.701,2846,1638,0.00933,1058.604065
TiO2,Ethylene Glycol,2.9,81.9,0.505,1.884,3875,1446,0.00814,1730.484409
SiO2,Oil,4.1,69.8,0.152,0.788,1853,942,0.00784,144.7942729
TiO2,Oil,1.11,26.5,0.777,0.615,2627,1959,0.00984,1898.778024
CuO,Ethylene Glycol,4.22,24.1,1.163,1.707,4008,1811,0.00816,2475.992004
ZnO,Propylene Glycol,3.05,80.9,1.266,1.044,2440,1747,0.00411,3120.959525
SiO2,Ethylene Glycol,0.87,69.4,2.466,0.79,3274,1705,0.00888,5729.500633
TiO2,Water,2.07,87.3,1.167,1.32,3076,1003,0.00793,2321.932044
ZnO,Oil,2.83,45.7,2.475,1.45,878,1708,0.00463,4271.452421
ZnO,Water,4.9,52.4,2.463,1.857,1386,1126,0.00268,2441.086767
ZnO,Oil,1.84,32.2,0.852,1.73,3811,1001,0.00909,2297.310422
CuO,Propylene Glycol,1.54,46.3,1.885,0.925,3718,1282,0.008,4081.065591
ZnO,Water,4.17,76,1.412,0.841,4011,1789,0.00069,5219.973393
CuO,Water,0.41,61.9,0.513,0.655,3393,1768,0.00352,2402.035427
Al2O3,Oil,1.99,24.2,0.885,0.627,2530,1172,0.00631,1347.761598
Al2O3,Propylene Glycol,2.65,74.4,2.244,1.57,1628,1724,0.00497,5463.695489
CuO,Water,2.59,78.4,1.072,1.315,3641,1837,0.00571,3827.418865
TiO2,Oil,3.62,39,1.263,0.896,2417,1218,0.00689,1470.515568
CuO,Oil,2.83,75.4,1.325,1.765,2571,1438,0.01007,2804.462314
ZnO,Propylene Glycol,1.46,34,2.946,0.918,4416,1874,0.00824,8395.09193
TiO2,Ethylene Glycol,2.4,30.9,0.441,1.926,3818,1973,0.00202,4020.391971
CuO,Oil,0.84,58.2,1.349,1.99,4158,1966,0.00332,10880.8327
ZnO,Propylene Glycol,0.21,75.6,0.932,1.104,3893,989,0.00305,3963.350426
Al2O3,Oil,0.28,59.6,0.61,0.967,3806,1414,0.00804,2209.127844
Al2O3,Oil,0.17,24.3,1.174,1.376,1359,1602,0.00172,6509.895067
CuO,Water,3.55,37.6,1.602,0.864,3124,1351,0.00154,3954.305607
TiO2,Propylene Glycol,3.16,84,0.468,0.79,1674,1078,0.00905,487.2597258
SiO2,Propylene Glycol,1.79,77,0.137,0.623,2641,944,0.00979,233.0481702
TiO2,Oil,0.43,81.4,1.788,0.778,3862,1015,0.00744,3654.653425
SiO2,Ethylene Glycol,2.81,84.8,1.129,0.624,4506,1325,0.00124,3635.520472
SiO2,Ethylene Glycol,1.65,51.9,0.735,0.949,1367,932,0.00954,879.207771
Al2O3,Oil,4.4,52.8,0.348,1.975,2077,1949,0.00786,810.612641
Al2O3,Water,3.27,56.5,2.936,1.313,3148,1882,0.00284,8979.421854
SiO2,Ethylene Glycol,1.18,75.1,0.203,1.096,1745,1701,0.00843,737.5318015
TiO2,Propylene Glycol,4.69,35.4,0.595,1.667,3462,1852,0.00315,1619.988059
SiO2,Ethylene Glycol,1.4,38.8,0.2,1.978,3085,1339,0.00778,1045.404751
SiO2,Propylene Glycol,1.13,72,1.222,1.579,4102,1275,0.00426,5557.627968
TiO2,Water,2.05,22.1,0.522,1.219,2758,1069,0.00766,1186.934208
CuO,Ethylene Glycol,4.26,79.9,2.497,0.615,4069,1801,0.00626,2758.946019
ZnO,Oil,0.9,31.3,0.218,1.831,2713,1775,0.00322,1957.751036
SiO2,Oil,0.12,24.7,0.725,0.97,996,1013,0.00418,1527.198943
ZnO,Propylene Glycol,3.87,35.5,1.754,1.072,1426,993,0.00384,1655.611042
SiO2,Ethylene Glycol,1.04,37.7,2.563,0.697,2986,1053,0.00961,3408.444964
CuO,Ethylene Glycol,1.73,78.8,1.362,1.041,1026,1011,0.00423,2047.074963
SiO2,Ethylene Glycol,0.4,43.4,2.899,1.374,1505,1846,0.00931,7237.264306
Al2O3,Water,1.81,36,2.894,0.891,2772,1192,0.00524,5165.305728
ZnO,Oil,1.15,55.8,0.32,0.918,854,1505,0.00242,1058.272611
ZnO,Ethylene Glycol,2.28,36,0.764,1.804,2146,1534,0.00552,2524.90288
ZnO,Propylene Glycol,2.58,55.3,2.446,1.851,1025,917,0.00269,4223.840591
TiO2,Oil,3.02,39.7,0.267,1.669,2659,1317,0.0057,872.3403813
CuO,Water,3.68,25.7,0.149,1.51,917,995,0.00659,205.7571844
Al2O3,Oil,2.38,72,2.184,0.966,4318,1737,0.00995,4550.40652
ZnO,Water,4.02,50,1.831,1.36,1467,2000,0.00144,4680.223928
TiO2,Ethylene Glycol,2.72,23.2,2.765,1.147,2551,1094,0.00162,6794.552636
ZnO,Propylene Glycol,1.3,54.8,0.957,1.558,2193,1077,0.00492,2852.73057
CuO,Water,3.24,68.3,0.946,1.34,3719,1186,0.00806,1732.230518
CuO,Ethylene Glycol,3.88,76.1,0.327,1.394,3084,1035,0.00087,1333.216868
ZnO,Oil,0.81,39.7,1.487,0.705,1806,911,0.00894,1736.849674
Al2O3,Propylene Glycol,4.21,29.7,0.923,0.789,1237,974,0.00398,658.9854345
SiO2,Oil,3.53,22.7,2.068,1.66,2683,906,0.00934,2351.975993
SiO2,Water,4.34,74.9,1.132,1.558,2322,1290,0.00147,2688.076244
CuO,Propylene Glycol,1.05,40.7,2.132,1.097,1142,1608,0.00956,3809.634387
ZnO,Oil,3.61,40.2,1.555,1.038,3502,1845,0.00237,4542.050398
SiO2,Propylene Glycol,0.72,84.2,0.575,1.995,3664,1419,0.00722,3099.922766
SiO2,Oil,3.48,83.7,1.947,1.819,2672,1315,0.00325,4899.246248
Al2O3,Water,1.15,60.9,2.267,1.201,3966,1340,0.00532,7240.256407
SiO2,Ethylene Glycol,1.43,89.5,2.692,2.026,3343,1868,0.00389,14645.79433
CuO,Ethylene Glycol,1.56,70.4,2.17,1.888,4353,1099,0.00465,7732.829716
CuO,Propylene Glycol,2.9,84,1.387,1.846,1448,1421,0.0014,5169.736797
Al2O3,Ethylene Glycol,3.57,85.5,2.603,1.416,3749,1588,0.00944,4586.966448
ZnO,Water,1.13,37.6,0.14,0.782,1865,1182,0.00183,598.021927
Al2O3,Propylene Glycol,0.51,85.8,0.36,0.759,905,1809,0.00371,1124.029974
CuO,Oil,2.62,86.3,1.867,0.912,3824,1351,0.00711,3403.498646
ZnO,Ethylene Glycol,1.23,68.1,0.498,1.113,2367,1964,0.00899,1833.438843
SiO2,Propylene Glycol,1.04,67.4,2.128,0.65,883,1580,0.00481,2946.860309
Al2O3,Oil,0.44,80.3,2.152,1.118,3547,1310,0.00886,5466.932783
TiO2,Water,1.12,61.5,0.156,1.668,3254,936,0.00796,628.9860061
ZnO,Propylene Glycol,3.72,80.2,0.415,1.845,929,1978,0.0035,1134.133864
ZnO,Water,1.74,24.9,0.142,0.667,3014,1549,0.00739,444.2890293
SiO2,Water,3.09,80.1,0.349,0.819,1131,1585,0.00659,537.9182487
Al2O3,Propylene Glycol,1.77,50.3,2.76,1.671,2214,1624,0.00242,11752.9719
TiO2,Oil,0.57,35,0.555,1.034,4266,1683,0.00945,2365.97861
ZnO,Ethylene Glycol,3.33,62,0.856,1.328,2518,1953,0.00839,2014.161801
SiO2,Water,1.48,57.1,2.984,1.45,1473,1350,0.00132,11212.72302
Al2O3,Oil,3.52,53.1,2.703,1.681,991,1666,0.0043,4387.317154
CuO,Propylene Glycol,1.01,67.4,2.316,1.033,1239,1538,0.00238,6860.233142
CuO,Propylene Glycol,4.68,60.6,2.908,1.091,2667,1336,0.00922,2100.870253
Al2O3,Ethylene Glycol,4.63,71.5,1.839,0.719,1876,1905,0.00355,1909.712188
Al2O3,Oil,4.66,24.6,1.417,0.803,1148,1986,0.00114,2199.654071
TiO2,Ethylene Glycol,3.94,24.2,1.04,0.662,2140,1709,0.00326,1572.197079
CuO,Ethylene Glycol,4.97,31.6,2.021,0.753,2789,1823,0.00877,1380.596056
Al2O3,Water,0.63,73.8,0.243,1.573,4347,1968,0.00301,2751.421854
SiO2,Oil,3.98,69.5,2.493,1.162,1714,1564,0.00998,2364.395414
ZnO,Oil,3.02,70.5,2.064,1.355,2342,1071,0.00269,4293.248666
CuO,Propylene Glycol,2.08,40,1.234,1.755,4001,1207,0.0077,3692.805076
TiO2,Ethylene Glycol,0.43,66.5,0.291,0.74,1472,1136,0.00255,956.3734555
SiO2,Oil,0.64,54.2,0.31,0.753,800,1650,0.00674,679.8767696
Al2O3,Ethylene Glycol,0.8,45.8,2.545,1.883,2239,1856,0.00931,8835.717331
SiO2,Water,4.49,78.4,1.336,0.709,865,1511,0.00168,1337.802986
ZnO,Propylene Glycol,2.74,90,0.269,0.93,3346,1522,0.00396,940.2218055
ZnO,Water,0.32,80.8,0.92,1.097,3321,1976,0.00975,3706.454726
SiO2,Ethylene Glycol,2.73,38.3,0.609,1.491,1046,1478,0.00119,2357.209611
SiO2,Oil,2.09,60.9,1.752,1.676,3688,1438,0.00679,5483.910796
ZnO,Ethylene Glycol,2.64,88.6,2.566,1.807,996,995,0.0071,3035.299005
ZnO,Ethylene Glycol,1.72,60,1.553,1.723,4274,1761,0.00574,7367.845685
SiO2,Oil,1.33,62.1,2.98,1.618,1096,1869,0.00548,8075.067963
CuO,Propylene Glycol,3.83,62.1,1.859,1.764,2278,1046,0.00144,4392.893466
Al2O3,Oil,0.55,21.1,1.978,1.644,2569,1163,0.00972,5113.415197
SiO2,Water,0.82,38.3,1.07,1.593,2359,1998,0.00606,5314.283596
Al2O3,Propylene Glycol,3.42,81.2,2.05,1.805,1684,1077,0.00673,2777.157109
ZnO,Water,4.15,72.5,2.219,1.691,2833,1146,0.00833,2598.924314
SiO2,Water,0.15,55.8,0.261,1.218,3056,905,0.00777,878.0780268
CuO,Propylene Glycol,2.15,82.4,0.18,0.876,1264,1723,0.00923,405.0997461
ZnO,Water,2.35,47.8,0.647,0.713,1756,1195,0.00574,988.0202443
ZnO,Water,1.79,76.8,0.253,1.739,893,1332,0.00204,1111.000652
TiO2,Propylene Glycol,2.38,66.7,0.158,1.84,3087,943,0.00422,648.0058897
SiO2,Oil,2.36,40.6,1.952,1.749,3583,2009,0.00197,12620.38799
SiO2,Ethylene Glycol,3.06,48.9,1.677,0.654,3485,1777,0.00288,3876.874577
TiO2,Ethylene Glycol,4.95,27.4,0.401,1.554,2014,1422,0.00946,399.6129059
CuO,Propylene Glycol,4.96,58.6,2.519,1.463,1705,1736,0.00393,2726.184033
ZnO,Oil,1.1,22,1.353,1.452,1947,953,0.00288,3993.144184
SiO2,Oil,1.52,63.6,2.745,1.437,2541,1246,0.00642,6409.244674
ZnO,Propylene Glycol,2.52,65.4,2.285,0.895,1266,1023,0.00935,1887.013933
TiO2,Ethylene Glycol,0.64,79.7,0.747,1.814,1463,1364,0.0015,4763.825189
CuO,Ethylene Glycol,0.52,29.2,0.915,1.302,1175,958,0.00183,2753.765959
ZnO,Ethylene Glycol,2.37,47,2.116,1.391,3130,1195,0.00144,8346.160036
TiO2,Ethylene Glycol,4.98,72.9,2.771,1.065,3709,1107,0.00926,1644.127851
CuO,Oil,2.6,64.5,0.119,0.942,2385,1805,0.00248,628.8146962
TiO2,Propylene Glycol,4.36,43.2,2.058,1.371,3817,1123,0.00356,3010.423528
SiO2,Water,2.68,58.7,2.416,1.242,3386,1707,0.00746,5619.559433
TiO2,Propylene Glycol,2.94,22.1,0.603,1.202,1394,1650,0.0025,1809.887925
ZnO,Water,3.25,34.8,0.982,0.942,2906,1349,0.00551,1712.860141
CuO,Water,2.17,67.7,0.736,1.535,1505,1984,0.0073,2294.344624
CuO,Oil,4.21,22.6,2.306,0.696,1231,1573,0.00118,3162.304875
CuO,Propylene Glycol,2.62,59.2,0.11,0.736,1727,1857,0.00837,273.082761
Al2O3,Propylene Glycol,3.94,37.6,0.12,1.027,1358,1763,0.00404,280.8047853
TiO2,Water,1.58,67.2,2.351,1.221,2279,978,0.00909,3468.649262
CuO,Water,2.59,74.6,1.617,1.446,4390,907,0.00624,3348.074375
ZnO,Oil,0.46,34.9,0.232,0.873,1340,1683,0.00881,701.5811365
